date,etf,ticker,weight,icc
2026-07-16,XLF,MRSH,0.0109,0.0726603457707343
2026-07-16,XLF,ICE,0.0097,0.0690058906740688
2026-07-16,XLF,AON,0.0097,0.0712631208526536
2026-07-16,XLV,LLY,0.1638,0.0800615890484258
2026-07-16,XLV,JNJ,0.10800000000000001,0.0678052749610267
2026-07-16,XLV,ABBV,0.0761,0.0922155192214678
2026-07-16,XLV,UNH,0.0658,0.0745507255489738
2026-07-16,XLV,MRK,0.053,0.1833431519822786
2026-07-16,XLV,AMGN,0.0338,0.0568929630361899
2026-07-16,XLV,TMO,0.0323,0.057645953164311
2026-07-16,XLV,GILD,0.0287,0.1944507889241514
2026-07-16,XLV,ABT,0.0282,0.0780752230929217
2026-07-16,XLV,ISRG,0.025,0.0437507985550105
2026-07-16,XLV,PFE,0.0233,0.0956800654683088
2026-07-16,XLV,CVS,0.0227,0.0855172534820296
2026-07-16,XLV,VRTX,0.0215,0.05704985495903
2026-07-16,XLV,DHR,0.020499999999999997,0.0541205618000441
2026-07-16,XLV,BMY,0.02,0.0791878512055738
2026-07-16,XLV,SYK,0.0192,0.0655528436423295
2026-07-16,XLV,MDT,0.0179,0.0854226702222061
2026-07-16,XLV,MCK,0.0168,0.0748322348602937
2026-07-16,XLV,ELV,0.0154,0.0786277085675451
2026-07-16,XLV,CI,0.0131,0.1107269510425238
2026-07-16,XLV,BSX,0.0113,0.0824824346465932
2026-07-16,XLV,REGN,0.0113,0.0581432228641652
2026-07-16,XLV,HCA,0.0109,0.0840540225242151
2026-07-16,XLV,COR,0.0103,0.0720727881323683
2026-07-16,XLV,CAH,0.0095,0.0668263567165724
2026-07-16,XLY,AMZN,0.2329,0.0563757808712136
2026-07-16,XLY,TSLA,0.1862,0.017919126752418
2026-07-16,XLY,HD,0.056299999999999996,0.0596782526993738
2026-07-16,XLY,MCD,0.042300000000000004,0.0686726516268937
2026-07-16,XLY,TJX,0.0394,0.0463863800058631
2026-07-16,XLY,BKNG,0.0342,0.0907813483415281
2026-07-16,XLY,SBUX,0.030699999999999998,0.0596969328139214
2026-07-16,XLY,LOW,0.0292,0.0629438377857766
2026-07-16,XLY,MAR,0.02,0.0524414967606204
2026-07-16,XLY,HLT,0.0184,0.0517920834820374
2026-07-16,XLY,ORLY,0.0182,0.053297848584199
2026-07-16,XLY,RCL,0.0181,0.0827877040920041
2026-07-16,XLY,DASH,0.018000000000000002,0.1121290044296922
2026-07-16,XLY,ROST,0.0178,0.0468078404710561
2026-07-16,XLY,GM,0.0174,0.1318807590180003
2026-07-16,XLY,ABNB,0.0154,0.0650207578785792
2026-07-16,XLY,F,0.013600000000000001,0.1294514677092574
2026-07-16,XLY,NKE,0.0132,0.0950221744890226
2026-07-16,XLY,EBAY,0.0128,0.0709109587724416
2026-07-16,XLY,AZO,0.0128,0.0757087115206603
2026-07-16,XLY,CMG,0.0118,0.064558695921415
2026-07-16,XLY,CVNA,0.011699999999999999,0.0684919604013692
2026-07-16,XLY,YUM,0.011200000000000002,0.0640009327566851
2026-07-16,XLY,GRMN,0.01,0.0520185649447983
2026-07-16,XLY,DHI,0.009899999999999999,0.0923965801248265
2026-07-16,XLP,WMT,0.1069,0.0460817480890133
2026-07-16,XLP,COST,0.08800000000000001,0.0349673417242849
2026-07-16,XLP,PG,0.07429999999999999,0.0473749094729866
2026-07-16,XLP,KO,0.0695,0.0521763761339049
2026-07-16,XLP,PM,0.061399999999999996,0.066115460213128
2026-07-16,XLP,CL,0.0466,0.0524421126803064
2026-07-16,XLP,MO,0.0451,0.0836615799321258
2026-07-16,XLP,MNST,0.0447,0.0398293013907705
2026-07-16,XLP,PEP,0.044000000000000004,0.0723966275950557
2026-07-16,XLP,MDLZ,0.0418,0.0768006341158108
2026-07-16,XLP,TGT,0.038900000000000004,0.0615252515940233
2026-07-16,XLP,KDP,0.0271,0.0933953583611632
2026-07-16,XLP,SYY,0.0254,0.071927601597941
2026-07-16,XLP,ADM,0.024700000000000003,0.092440696501494
2026-07-16,XLP,KVUE,0.0239,0.0724823199546401
2026-07-16,XLP,KMB,0.023700000000000002,0.0489942103103685
2026-07-16,XLP,KR,0.022000000000000002,0.0873757508391409
2026-07-16,XLP,CASY,0.0197,0.0390397543907553
2026-07-16,XLP,DG,0.0165,0.0712258404454507
2026-07-16,XLP,HSY,0.0165,0.0949043576662879
2026-07-16,XLP,CHD,0.0147,0.0506843677259929
2026-07-16,XLP,DLTR,0.014199999999999999,0.0660188427644814
2026-07-16,XLP,KHC,0.0137,0.0777918961239036
2026-07-16,XLP,EL,0.0131,0.0933833113606884
2026-07-16,XLP,GIS,0.012199999999999999,0.091523095004708
2026-07-16,XLE,XOM,0.2026,0.0604237105511557
2026-07-16,XLE,CVX,0.1461,0.0640694517749455
2026-07-16,XLE,COP,0.058600000000000006,0.05582596824098
2026-07-16,XLE,MPC,0.047,0.0727097352528763
2026-07-16,XLE,PSX,0.0461,0.0696471724447894
2026-07-16,XLE,VLO,0.046,0.0679958648981565
2026-07-16,XLE,SLB,0.0446,0.1132913202969946
2026-07-16,XLE,EOG,0.0444,0.0819478207977452
2026-07-16,XLE,WMB,0.0441,0.0401335871343525
