ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,rank_in_country,ICC,mktcap,name_icc,sector_icc
MLCO,Hong Kong,2302442752.0,Consumer Cyclical,Melco Resorts & Entertainment L,EQUITY,Melco Resorts & Entertainment Limited - American Depositary Shares ,NASDAQ,nasdaq_trader_symbol_directories,5,0.17147564601167253,2302442752.0,Melco Resorts & Entertainment L,Consumer Cyclical
MSC,Hong Kong,481470432.0,Consumer Cyclical,Studio City International Holdi,EQUITY,"Studio City International Holdings Limited American depositary shares, each representing four  Class A ordinary shares",N,nasdaq_trader_symbol_directories,6,,,,
UCL,Hong Kong,45710700.0,Communication Services,uCloudlink Group Inc.,EQUITY,uCloudlink Group Inc. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,7,0.010000000000000002,45710700.0,uCloudlink Group Inc.,Communication Services
INFY,India,52363505664.0,Technology,Infosys Limited,EQUITY,Infosys Limited American Depositary Shares,N,nasdaq_trader_symbol_directories,1,0.076225970696704,52363505664.0,Infosys Limited,Technology
SIFY,India,1128666240.0,Communication Services,Sify Technologies Limited - Ame,EQUITY,Sify Technologies Limited - American Depository Shares,NASDAQ,nasdaq_trader_symbol_directories,2,0.025226063110070453,1128666240.0,Sify Technologies Limited - Ame,Communication Services
PDD,Ireland,138798825472.0,Consumer Cyclical,PDD Holdings Inc.,EQUITY,PDD Holdings Inc. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,1,0.3334643704006036,138798825472.0,PDD Holdings Inc.,Consumer Cyclical
RYAAY,Ireland,29659498496.0,Industrials,Ryanair Holdings plc,EQUITY,"Ryanair Holdings plc - American Depositary Shares, each representing five Ordinary Shares",NASDAQ,nasdaq_trader_symbol_directories,2,0.09086785655947749,29659498496.0,Ryanair Holdings plc,Industrials
AMRN,Ireland,305995072.0,Healthcare,Amarin Corporation plc,EQUITY,Amarin Corporation plc - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,3,0.15923647109929784,305995072.0,Amarin Corporation plc,Healthcare
TRIB,Ireland,12556304.0,Healthcare,Trinity Biotech plc,EQUITY,Trinity Biotech plc - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,4,,,,
TEVA,Israel,36341022720.0,Healthcare,Teva Pharmaceutical Industries ,EQUITY,Teva Pharmaceutical Industries Limited American Depositary Shares,N,nasdaq_trader_symbol_directories,1,0.10802290313125129,36341022720.0,Teva Pharmaceutical Industries ,Healthcare
NICE,Israel,6005004288.0,Technology,NICE Ltd,EQUITY,NICE Ltd - American Depositary Shares each representing one Ordinary Share,NASDAQ,nasdaq_trader_symbol_directories,2,0.11480745667136472,6005004288.0,NICE Ltd,Technology
FORTY,Israel,2077576320.0,Technology,Formula Systems (1985) Ltd.,EQUITY,Formula Systems (1985) Ltd. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,3,,,,
BWAY,Israel,630520128.0,Healthcare,Brainsway Ltd.,EQUITY,BrainsWay Ltd. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,4,0.08643162970751328,630520128.0,Brainsway Ltd.,Healthcare
SVRE,Israel,140686736.0,Technology,SaverOne 2014 Ltd.,EQUITY,SaverOne 2014 Ltd. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,5,,,,
