ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,company,country_final,rank_in_country,ICC,mktcap,name_icc,sector_icc,weight_mktcap,country_region
EVAX,Denmark,35445912.0,Healthcare,Evaxion A/S,EQUITY,Evaxion A/S - American Depositary Share,NASDAQ,nasdaq_trader_symbol_directories,Evaxion A/S - American Depositary Share,Denmark,3,,,,,35445912.0,Denmark
NOK,Finland,57667575808.0,Technology,Nokia Corporation Sponsored,EQUITY,Nokia Corporation Sponsored American Depositary Shares,N,nasdaq_trader_symbol_directories,Nokia Corporation Sponsored American Depositary Shares,Finland,1,0.06966889631022943,73354502144.0,Nokia Corporation Sponsored,Technology,73354502144.0,Finland
SNY,France,113874755584.0,Healthcare,Sanofi,EQUITY,Sanofi - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Sanofi - American Depositary Shares,France,1,0.12049656716911727,103860101120.0,Sanofi,Healthcare,103860101120.0,France
ABVX,France,8959903744.0,Healthcare,Abivax SA,EQUITY,Abivax SA - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Abivax SA - American Depositary Shares,France,2,,,,,8959903744.0,France
NBTX,France,1634783616.0,Healthcare,Nanobiotix S.A.,EQUITY,Nanobiotix S.A. - ADSs,NASDAQ,nasdaq_trader_symbol_directories,Nanobiotix S.A. - ADSs,France,3,0.03637831439737976,1511120128.0,Nanobiotix S.A.,Healthcare,1511120128.0,France
DBVT,France,1144596864.0,Healthcare,DBV Technologies S.A.,EQUITY,DBV Technologies S.A. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,DBV Technologies S.A. - American Depositary Shares,France,4,,,,,1144596864.0,France
IVA,France,1081845632.0,Healthcare,Inventiva S.A. - American Depos,EQUITY,Inventiva S.A. - American Depository Shares,NASDAQ,nasdaq_trader_symbol_directories,Inventiva S.A. - American Depository Shares,France,5,,,,,1081845632.0,France
CRTO,France,922891712.0,Communication Services,Criteo S.A.,EQUITY,Criteo S.A. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Criteo S.A. - American Depositary Shares,France,6,0.14341363326367917,947501632.0,Criteo S.A.,Communication Services,947501632.0,France
HKD,France,531132128.0,Technology,AMTD Digital Inc.,EQUITY,AMTD Digital Inc. American Depositary Shares (every five of which represent two Class A Ordinary Shares),N,nasdaq_trader_symbol_directories,AMTD Digital Inc. American Depositary Shares (every five of which represent two Class A Ordinary Shares),France,7,,,,,531132128.0,France
VALN,France,463052000.0,Healthcare,Valneva SE,EQUITY,Valneva SE - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,Valneva SE - American Depositary Shares,France,8,0.10181628049769983,449151776.0,Valneva SE,Healthcare,449151776.0,France
