ticker,fetch_status,has_price,has_market_cap,has_forward_eps,has_trailing_eps,has_icc,icc_method,unavailable_reason,mktcap
IFF,ok,True,False,True,True,True,forecast_icc,,
IP,ok,True,False,True,False,True,forecast_icc,,
INTU,ok,True,True,True,True,True,forecast_icc,,91123376128.0
ISRG,ok,True,True,True,True,True,forecast_icc,,126507982848.0
IVZ,ok,True,True,True,False,True,forecast_icc,,12392904704.0
INVH,ok,True,True,True,True,True,forecast_icc,,17886605312.0
IQV,ok,True,True,True,True,True,forecast_icc,,40748376064.0
IRM,ok,True,True,True,True,True,forecast_icc,,35926106112.0
JBHT,ok,True,True,True,True,True,forecast_icc,,25929547776.0
JBL,ok,True,True,True,True,True,forecast_icc,,30088566784.0
JKHY,ok,True,True,True,True,True,forecast_icc,,11449833472.0
J,ok,True,True,True,True,True,forecast_icc,,16048372736.0
JNJ,ok,True,True,True,True,True,forecast_icc,,639900319744.0
JCI,ok,True,False,True,True,True,forecast_icc,,
JPM,ok,True,False,True,True,True,forecast_icc,,
KVUE,ok,True,True,True,True,True,forecast_icc,,37996974080.0
KDP,ok,True,True,True,True,True,forecast_icc,,42789597184.0
KEY,ok,True,True,True,True,True,forecast_icc,,23777736704.0
KEYS,ok,True,True,True,True,True,forecast_icc,,50708070400.0
KMB,ok,True,True,True,True,True,forecast_icc,,37578964992.0
KIM,ok,True,False,True,True,True,forecast_icc,,
KMI,ok,True,False,True,True,True,forecast_icc,,
KKR,ok,True,True,True,True,True,forecast_icc,,92572794880.0
KLAC,ok,True,True,True,True,True,forecast_icc,,222314987520.0
KHC,ok,True,True,True,False,True,forecast_icc,,32751179776.0
KR,ok,True,False,True,True,True,forecast_icc,,
LHX,ok,True,True,True,True,True,forecast_icc,,55428333568.0
LH,ok,True,False,True,True,True,forecast_icc,,
LRCX,ok,True,True,True,True,True,forecast_icc,,315581595648.0
LVS,ok,True,True,True,True,True,forecast_icc,,32171040768.0
LDOS,ok,True,True,True,True,True,forecast_icc,,14386083840.0
LEN,ok,True,True,True,True,True,forecast_icc,,20370092032.0
LII,ok,True,False,True,True,True,forecast_icc,,
LLY,ok,True,False,True,True,True,forecast_icc,,
LIN,ok,True,True,True,True,True,forecast_icc,,236338069504.0
LYV,ok,True,False,True,False,True,forecast_icc,,
LMT,ok,True,True,True,True,True,forecast_icc,,131366100992.0
L,ok,True,True,True,True,True,forecast_icc,,24474150912.0
LOW,ok,True,False,True,True,True,forecast_icc,,
LULU,ok,True,True,True,True,True,forecast_icc,,13516322816.0
LITE,ok,True,True,True,True,True,forecast_icc,,46862827520.0
LYB,ok,True,False,True,False,True,forecast_icc,,
MTB,ok,True,True,True,True,True,forecast_icc,,36281077760.0
MPC,ok,True,True,True,True,True,forecast_icc,,90126680064.0
MAR,ok,True,False,True,True,True,forecast_icc,,
MRSH,ok,True,True,True,True,True,forecast_icc,,94292172800.0
MLM,ok,True,True,True,True,True,forecast_icc,,34205745152.0
MRVL,ok,True,True,True,True,True,forecast_icc,,146658754560.0
MAS,ok,True,False,True,True,True,forecast_icc,,
MA,ok,True,False,True,True,True,forecast_icc,,
MKC,ok,True,True,True,True,True,forecast_icc,,13977592832.0
MCD,ok,True,False,True,True,True,forecast_icc,,
MCK,ok,True,False,True,True,True,forecast_icc,,
MDT,ok,True,False,True,True,True,forecast_icc,,
MRK,ok,True,False,True,True,True,forecast_icc,,
META,ok,True,True,True,True,True,forecast_icc,,1486526087168.0
MET,ok,True,True,True,True,True,forecast_icc,,62426234880.0
MTD,ok,True,False,True,True,True,forecast_icc,,
MGM,ok,True,False,True,True,True,forecast_icc,,
MCHP,ok,True,True,True,True,True,forecast_icc,,38754508800.0
MU,ok,True,False,True,True,True,forecast_icc,,
MSFT,ok,True,True,True,True,True,forecast_icc,,2901100986368.0
MAA,ok,True,True,True,True,True,forecast_icc,,16393094144.0
MRNA,failed,True,True,False,False,False,,missing_positive_eps,21620885504.0
TAP,ok,True,True,True,False,True,forecast_icc,,8019695616.0
MDLZ,ok,True,True,True,True,True,forecast_icc,,83424395264.0
MPWR,ok,True,True,True,True,True,forecast_icc,,61351579648.0
MNST,ok,True,True,True,True,True,forecast_icc,,95091736576.0
MCO,ok,True,True,True,True,True,forecast_icc,,83687981056.0
MS,ok,True,True,True,True,True,forecast_icc,,319320358912.0
MOS,ok,True,True,True,True,True,forecast_icc,,7189691392.0
MSI,ok,True,True,True,True,True,forecast_icc,,72075288576.0
MSCI,ok,True,True,True,True,True,forecast_icc,,42378280960.0
NDAQ,ok,True,True,True,True,True,forecast_icc,,53410287616.0
NTAP,ok,True,True,True,True,True,forecast_icc,,33939206144.0
NFLX,ok,True,True,True,True,True,forecast_icc,,306590875648.0
NEM,ok,True,True,True,True,True,forecast_icc,,96244252672.0
NWSA,ok,True,True,True,True,True,forecast_icc,,15603765248.0
NWS,ok,True,True,True,True,True,forecast_icc,,17671995392.0
NEE,ok,True,False,True,True,True,forecast_icc,,
NKE,ok,True,True,True,True,True,forecast_icc,,64116817920.0
NI,ok,True,True,True,True,True,forecast_icc,,21483673600.0
NDSN,ok,True,True,True,True,True,forecast_icc,,16435681280.0
NSC,ok,True,True,True,True,True,forecast_icc,,75410014208.0
NTRS,ok,True,True,True,True,True,forecast_icc,,21821057024.0
NOC,ok,True,True,True,True,True,forecast_icc,,76010815488.0
NCLH,ok,True,True,True,True,True,forecast_icc,,9526535168.0
NRG,ok,True,False,True,True,True,forecast_icc,,
NUE,ok,True,False,True,True,True,forecast_icc,,
NVDA,ok,True,True,True,True,True,forecast_icc,,4602232045568.0
NVR,ok,True,True,True,True,True,forecast_icc,,17091409920.0
NXPI,ok,True,True,True,True,True,forecast_icc,,60840476672.0
ORLY,ok,True,True,True,True,True,forecast_icc,,75106443264.0
OXY,ok,True,True,True,True,True,forecast_icc,,55729381376.0
ODFL,ok,True,True,True,True,True,forecast_icc,,46333251584.0
OMC,ok,True,True,True,False,True,forecast_icc,,23535812608.0
ON,ok,True,True,True,True,True,forecast_icc,,30691176448.0
