date,family,group,daily_icc,ew_icc,n_firms,method,source_file
2025-11-14,industry,Consumer Cyclical,0.08227445829917132,0.11442212006336773,391,ICC calculation,data/202511/icc_live_usall_2025_1114.csv
2025-11-14,industry,Consumer Defensive,0.0672276802123915,0.1079592873431812,156,ICC calculation,data/202511/icc_live_usall_2025_1114.csv
2025-11-14,industry,Energy,0.0971453748658413,0.12289171466555712,186,ICC calculation,data/202511/icc_live_usall_2025_1114.csv
2025-11-14,industry,Financial Services,0.08743007046393636,0.11942209692943068,625,ICC calculation,data/202511/icc_live_usall_2025_1114.csv
2025-11-14,industry,Healthcare,0.08013126434222535,0.09021133011236628,312,ICC calculation,data/202511/icc_live_usall_2025_1114.csv
2025-11-14,industry,Industrials,0.06756352773733176,0.09492060018367572,435,ICC calculation,data/202511/icc_live_usall_2025_1114.csv
2025-11-14,industry,Real Estate,0.06803055849250894,0.09568776804217703,180,ICC calculation,data/202511/icc_live_usall_2025_1114.csv
2025-11-14,industry,Technology,0.06971114809698047,0.08608090457320831,485,ICC calculation,data/202511/icc_live_usall_2025_1114.csv
2025-11-14,industry,Utilities,0.08250861435560843,0.09148121417433668,90,ICC calculation,data/202511/icc_live_usall_2025_1114.csv
2025-11-17,industry,Basic Materials,0.09659896437013189,0.12030532176463622,159,ICC calculation,data/202511/icc_live_usall_2025_1117.csv
2025-11-17,industry,Communication Services,0.06211916895420724,0.12585926627069233,159,ICC calculation,data/202511/icc_live_usall_2025_1117.csv
2025-11-17,industry,Consumer Cyclical,0.08206300620679818,0.11539036450730054,392,ICC calculation,data/202511/icc_live_usall_2025_1117.csv
2025-11-17,industry,Consumer Defensive,0.06764888077520115,0.10880533899835179,156,ICC calculation,data/202511/icc_live_usall_2025_1117.csv
2025-11-17,industry,Energy,0.09819093749092413,0.12248194336289013,186,ICC calculation,data/202511/icc_live_usall_2025_1117.csv
2025-11-17,industry,Financial Services,0.08880277583924932,0.12185395667901641,630,ICC calculation,data/202511/icc_live_usall_2025_1117.csv
2025-11-17,industry,Healthcare,0.08035971822714577,0.09029082534031985,312,ICC calculation,data/202511/icc_live_usall_2025_1117.csv
