etf,symbol,weight,matched,constituent_icc,holding_source
SPY,TTWO,0.0009610123961996223,False,,spdr_full_holdings
SPY,IRM,0.0009602197955825404,True,0.0360078875205067,spdr_full_holdings
SPY,MLM,0.0009503598439060398,True,0.0647396072118347,spdr_full_holdings
SPY,EQT,0.0009386293547732257,True,0.0672793490266291,spdr_full_holdings
SPY,PCG,0.0009271683498502196,True,0.1008940068026303,spdr_full_holdings
SPY,JBL,0.0009212555492467876,True,0.0658469027664749,spdr_full_holdings
SPY,ADM,0.0009208116929012216,True,0.0920288996375359,spdr_full_holdings
SPY,IBKR,0.0009184338910499756,True,0.0534297756816594,spdr_full_holdings
SPY,SYY,0.0009070997022257026,True,0.0791121954724251,spdr_full_holdings
SPY,HAL,0.0008896149326128729,True,0.104677503097435,spdr_full_holdings
SPY,PRU,0.0008749042651598303,True,0.1406190251271041,spdr_full_holdings
SPY,CBOE,0.0008740482564933818,True,0.0350172041001469,spdr_full_holdings
SPY,HBAN,0.0008665661066681274,True,0.1815278725175572,spdr_full_holdings
SPY,FISV,0.0008576572757321253,True,0.1163688974453064,spdr_full_holdings
SPY,KVUE,0.0008558342943128368,True,0.0815080948386,spdr_full_holdings
SPY,ACGL,0.0008551209537574629,True,0.0888591922912792,spdr_full_holdings
SPY,MTB,0.0008375252200582417,True,0.106944459419621,spdr_full_holdings
SPY,NRG,0.0008349254900342127,True,0.115199444706276,spdr_full_holdings
SPY,A,0.0008343548175899136,True,0.0687673331856818,spdr_full_holdings
SPY,KMB,0.0008313746392696852,True,0.0704263923745539,spdr_full_holdings
SPY,AXON,0.0008107194671885274,True,0.0689889625507419,spdr_full_holdings
SPY,STLD,0.0008076758808189324,False,,spdr_full_holdings
SPY,AEE,0.0008029995371781484,True,0.0669979891275543,spdr_full_holdings
SPY,DVN,0.0007993852783642544,True,0.071487664611335,spdr_full_holdings
SPY,ATO,0.0007978634851794568,True,0.056583962684824,spdr_full_holdings
SPY,DTE,0.0007891448783915545,True,0.0714941414611339,spdr_full_holdings
SPY,CASY,0.0007845953508495035,True,0.035293979077741,spdr_full_holdings
SPY,CCL,0.000784405126701404,True,0.1107932238048671,spdr_full_holdings
SPY,NTRS,0.0007805689397147269,False,,spdr_full_holdings
SPY,VICI,0.0007792690747027124,True,0.0982856671493029,spdr_full_holdings
SPY,DOV,0.0007758450400369181,True,0.0612845434519041,spdr_full_holdings
SPY,Q,0.0007733404220869388,True,0.0497784531727778,spdr_full_holdings
SPY,EXR,0.0007733087180622555,True,0.043520450339759,spdr_full_holdings
SPY,PAYX,0.0007730550858647892,False,,spdr_full_holdings
SPY,OTIS,0.0007707406920629097,True,0.0831365383203478,spdr_full_holdings
